Obs,Place,State,Gender,Age,Age2,AgeGrp,Year,Seed,Time,Diff,Split-1,Split-2,Split-3,Split-4,Split-5,Split-6,Split-7,Split-8,Split-9,Split-10
485,3,SC,1,56,3136,2,2013,424.57,404.60,-19.97,35.16,38.60,39.87,41.32,41.37,42.40,41.63,42.19,41.65,40.41
486,4,VA,1,58,3364,2,2013,434.80,411.83,-22.97,36.43,40.50,41.73,42.23,43.10,42.19,42.71,42.12,41.38,39.44
487,5,MO,1,58,3364,2,2013,455.20,456.40,1.20,41.31,44.54,45.75,47.67,47.69,47.08,47.08,46.92,45.30,43.06
488,6,KY,1,59,3481,2,2013,383.68,458.58,74.90,41.03,45.68,47.33,47.44,47.63,46.39,46.96,47.23,45.71,43.18
489,7,RI,1,57,3249,2,2013,441.60,463.72,22.12,39.46,44.47,47.46,48.20,48.59,48.06,47.84,47.73,47.73,44.18
490,8,TX,1,58,3364,2,2013,500.07,465.73,-34.34,41.84,46.37,47.63,47.39,47.96,48.05,47.80,47.09,47.59,44.01
491,9,PA,1,55,3025,2,2013,455.80,469.21,13.41,42.14,46.66,48.42,49.56,48.83,48.11,47.50,47.45,46.09,44.45
492,10,WI,1,56,3136,2,2013,538.20,543.46,5.26,45.42,48.54,55.10,56.90,57.68,56.94,57.24,56.73,55.73,53.18
493,1,OH,1,60,3600,3,2013,394.20,384.46,-9.74,33.24,37.49,38.86,39.33,39.63,39.36,39.32,39.16,39.35,38.72
494,2,WA,1,61,3721,3,2013,399.68,398.33,-1.35,35.46,39.74,40.49,40.65,40.66,40.90,40.74,40.48,40.46,38.75
495,3,OH,1,60,3600,3,2013,416.30,409.08,-7.22,38.09,40.70,42.32,41.96,41.68,41.50,41.51,40.43,40.82,40.07
496,4,SC,1,60,3600,3,2013,433.53,411.43,-22.10,36.98,40.89,41.81,41.79,41.90,42.20,42.20,42.22,42.03,39.41
497,5,NC,1,64,4096,3,2013,457.86,436.15,-21.71,36.97,40.84,42.62,45.66,45.26,45.87,46.45,44.64,45.10,42.74
498,6,NM,1,64,4096,3,2013,459.58,442.94,-16.64,37.48,42.77,44.11,45.15,45.64,45.87,46.07,46.02,45.77,44.06
499,7,MI,1,60,3600,3,2013,484.57,472.43,-12.14,39.42,43.49,46.72,48.32,49.34,49.80,49.90,50.39,48.99,46.06
500,8,PA,1,61,3721,3,2013,473.00,473.13,0.13,43.60,46.30,47.79,47.83,49.15,46.89,47.42,48.38,48.54,47.23
501,9,DC,1,62,3844,3,2013,526.20,479.71,-46.49,41.76,47.59,49.33,48.31,49.89,49.06,49.06,49.42,49.14,46.15
502,10,TX,1,61,3721,3,2013,505.86,496.03,-9.83,42.29,46.17,48.31,49.90,50.38,50.15,51.39,53.36,54.19,49.89
503,11,NE,1,62,3844,3,2013,510.50,498.74,-11.76,44.99,49.12,52.65,51.56,50.68,50.49,50.75,50.75,50.26,47.49
504,12,DE,1,60,3600,3,2013,570.10,517.98,-52.12,47.50,53.11,54.09,52.51,52.61,52.29,51.71,52.29,52.69,49.18
505,13,TN,1,61,3721,3,2013,493.70,519.93,26.23,47.85,51.04,52.34,52.88,53.48,52.67,52.98,52.60,52.95,51.14
506,14,FL,1,62,3844,3,2013,544.20,530.34,-13.86,46.50,51.72,53.46,53.43,55.54,55.26,53.36,54.16,54.77,52.14
507,15,MN,1,60,3600,3,2013,527.28,550.37,23.09,50.03,53.94,54.63,54.43,56.74,56.35,56.14,57.23,57.44,53.44
508,16,MO,1,63,3969,3,2013,558.50,571.09,12.59,51.21,59.00,57.28,55.60,57.95,57.94,57.16,59.14,58.74,57.07
509,17,MI,1,62,3844,3,2013,608.10,581.52,-26.58,46.10,54.13,56.96,60.41,60.84,62.11,63.40,60.93,60.92,55.72
510,18,PA,1,63,3969,3,2013,593.00,587.00,-6.00,49.36,56.88,59.86,61.35,61.61,62.03,60.91,60.17,59.48,55.35
511,19,OH,1,64,4096,3,2013,621.12,691.19,70.07,56.14,64.10,71.59,70.26,73.20,72.10,71.45,72.39,71.93,68.03
512,20,TX,1,62,3844,3,2013,720.31,706.23,-14.08,61.98,69.49,72.62,70.93,71.54,71.85,71.97,75.34,72.75,67.76
513,21,OH,1,63,3969,3,2013,701.23,755.18,53.95,56.83,65.94,71.18,72.96,78.46,78.42,80.04,82.25,83.46,85.64
514,1,IL,1,66,4356,4,2013,467.26,444.00,-23.26,41.01,44.46,45.30,45.52,45.67,45.20,45.02,44.56,44.60,42.66
515,2,TN,1,66,4356,4,2013,481.80,465.05,-16.75,40.57,46.03,48.15,47.76,47.68,48.28,47.14,48.14,48.20,43.10
516,3,PA,1,67,4489,4,2013,462.80,470.60,7.80,38.86,43.64,43.77,44.86,44.86,46.71,48.15,49.83,53.38,56.54
517,4,MA,1,66,4356,4,2013,502.30,490.83,-11.47,42.50,48.30,50.50,51.01,50.78,50.30,51.15,49.99,48.72,47.58
518,5,RI,1,65,4225,4,2013,526.80,505.44,-21.36,41.57,46.12,48.80,49.62,52.16,53.34,53.60,53.56,55.11,51.56
519,6,PA,1,65,4225,4,2013,570.60,538.29,32.31,43.79,52.69,55.62,57.36,56.80,55.39,55.85,53.93,54.44,52.42
520,7,OH,1,66,4356,4,2013,563.90,549.10,-14.80,48.91,53.19,56.78,58.03,57.17,56.00,56.64,56.19,55.37,50.82
521,8,NC,1,68,4624,4,2013,638.76,655.90,17.14,55.89,65.63,68.41,66.50,67.07,66.85,68.43,64.84,69.82,62.46
522,9,MD,1,68,4624,4,2013,626.30,662.14,35.84,56.74,63.18,67.11,67.64,68.48,68.72,68.30,67.58,68.14,66.25
523,10,DC,1,69,4761,4,2013,703.09,693.35,-9.74,57.42,70.65,69.96,71.67,70.55,73.54,70.43,71.58,70.61,66.94
524,11,DC,1,68,4624,4,2013,741.90,705.22,-36.68,56.81,64.05,72.99,70.81,72.49,73.59,75.43,74.26,74.40,70.39
525,12,MN,1,69,4761,4,2013,793.32,765.52,-27.80,66.09,76.15,77.96,78.90,77.81,76.37,78.69,77.63,77.35,78.57
526,13,VA,1,66,4356,4,2013,745.20,775.61,30.41,75.66,78.17,79.38,80.10,78.51,78.00,76.73,78.56,77.93,72.57
527,14,PA,1,66,4356,4,2013,785.10,785.25,0.15,63.07,76.21,78.99,84.69,81.34,79.25,81.26,77.85,81.15,81.44
528,1,NM,1,70,4900,5,2013,467.40,449.62,-17.78,39.54,44.01,45.87,46.71,46.52,46.68,46.09,45.24,45.20,43.76
529,2,TX,1,72,5184,5,2013,552.40,524.85,-27.55,46.04,51.14,53.88,54.56,54.44,55.12,53.60,53.07,53.45,49.55
530,3,MD,1,70,4900,5,2013,562.40,530.08,-32.32,46.66,54.06,53.52,54.20,53.85,55.42,54.60,54.79,54.07,48.91
531,4,TX,1,71,5041,5,2013,457.48,539.35,81.87,45.55,50.04,53.08,54.20,55.03,56.51,54.72,56.48,57.13,56.61
532,5,FL,1,72,5184,5,2013,546.90,548.90,2.00,48.65,48.65,54.37,56.13,56.17,56.19,58.29,56.49,57.57,56.39
533,6,LA,1,74,5476,5,2013,605.00,558.98,-46.02,47.34,53.15,54.62,56.05,57.60,58.38,57.45,57.95,58.81,57.63
534,7,PA,1,72,5184,5,2013,563.86,563.72,-0.14,46.15,53.73,56.28,59.60,58.38,59.50,59.05,58.64,58.48,53.91
535,8,NC,1,74,5476,5,2013,635.39,569.84,-65.55,47.19,54.84,59.87,58.66,59.87,61.14,58.23,58.02,58.38,53.64
536,9,TN,1,74,5476,5,2013,599.90,588.82,-11.08,52.34,57.81,59.88,59.92,60.20,59.24,61.32,61.02,60.20,56.89
537,10,DC,1,74,5476,5,2013,603.57,616.34,12.77,51.13,57.30,61.48,64.07,65.41,64.14,64.36,64.63,63.73,60.09
538,11,PA,1,72,5184,5,2013,610.30,621.65,11.35,55.84,58.86,61.52,62.30,62.95,63.17,64.37,64.37,65.15,63.12
539,12,AZ,1,71,5041,5,2013,594.49,625.85,31.36,51.83,56.88,60.96,61.04,62.14,63.08,62.13,68.30,76.32,63.17
540,13,MD,1,71,5041,5,2013,642.10,626.14,-15.96,54.30,61.05,63.80,65.05,62.64,64.57,65.47,64.66,64.55,60.05
541,14,FL,1,72,5184,5,2013,614.60,644.73,30.13,52.77,64.33,68.57,66.63,66.76,67.97,65.66,64.73,65.70,61.61
542,15,OH,1,71,5041,5,2013,659.23,650.15,-9.08,55.84,62.73,67.30,67.19,67.32,67.40,67.26,66.68,67.18,61.25
543,16,OH,1,71,5041,5,2013,716.46,676.42,-40.04,51.63,60.00,65.89,70.00,69.85,70.52,71.94,72.86,74.20,69.53
544,17,PA,1,72,5184,5,2013,698.00,678.47,-19.53,53.46,66.74,70.40,71.07,71.56,69.87,69.65,69.49,70.16,66.07
545,18,CA,1,73,5329,5,2013,677.69,687.78,10.09,62.71,66.17,67.15,70.25,70.33,69.47,71.87,70.03,71.82,67.98
548,21,KY,1,72,5184,5,2013,951.27,945.50,-5.77,72.83,95.02,98.85,98.11,98.31,98.31,97.50,96.25,95.70,94.62
549,1,MA,1,75,5625,6,2013,579.05,576.86,-2.19,51.43,57.19,58.25,60.21,59.76,58.49,58.30,57.77,58.24,57.22
550,2,OH,1,75,5625,6,2013,640.78,608.28,-32.50,51.07,57.16,59.17,61.81,63.86,63.85,64.03,63.46,63.62,60.25
551,3,MD,1,79,6241,6,2013,793.00,791.27,-1.73,69.31,79.00,80.02,79.45,79.75,80.72,80.87,82.48,81.40,78.27
552,4,NJ,1,77,5929,6,2013,853.00,814.93,-38.07,72.07,83.94,84.13,86.25,86.72,83.77,84.67,84.05,79.59,69.74
553,5,NY,1,75,5625,6,2013,832.12,825.95,-6.17,74.88,82.12,85.43,82.72,85.06,82.79,83.89,82.85,81.59,84.62
554,6,DC,1,76,5776,6,2013,835.82,868.21,32.39,76.65,85.68,88.58,83.95,88.90,88.28,92.33,85.37,94.07,84.40
555,1,CA,1,81,6561,7,2013,546.94,564.31,17.37,51.01,54.60,56.86,57.53,58.62,58.01,58.20,58.90,57.77,52.81
556,2,DC,1,80,6400,7,2013,650.72,642.68,-8.04,52.67,61.44,67.65,66.23,65.21,67.34,66.75,65.51,67.04,62.84
557,3,IL,1,82,6724,7,2013,669.52,654.60,-14.92,59.03,64.60,66.51,66.74,65.31,68.46,67.50,67.60,66.52,62.33
558,4,MD,1,82,6724,7,2013,691.80,692.02,0.22,63.07,67.85,69.66,70.69,71.25,70.42,70.54,70.53,70.98,67.03
559,5,VA,1,81,6561,7,2013,754.07,760.63,6.56,66.53,70.76,75.51,77.05,79.88,76.96,80.75,79.45,78.04,75.70
560,6,CA,1,81,6561,7,2013,849.56,837.33,12.23,73.30,81.36,85.57,85.97,86.63,85.45,84.66,86.45,84.51,83.43
563,2,NY,1,86,7396,8,2013,927.74,1003.41,75.67,87.04,99.39,99.39,95.43,100.76,99.71,104.09,102.92,107.30,107.38
565,1,IL,1,94,8836,9,2013,1201.18,1121.02,-80.16,81.19,109.90,115.49,114.29,117.11,113.28,117.57,118.55,117.44,116.20
